Setting,Mass_g
20,0.0185
20,0.0183
20,0.0183
20,0.0187
20,0.0183
100,0.0895
100,0.0898
100,0.0894
100,0.0896
100,0.0892
200,0.1806
200,0.1795
200,0.1793
200,0.1790
200,0.1788
133.6,0.1207
122.5,0.1110
111.3,0.1004
100.2,0.0904
89,0.0802
77.8,0.0700
66.6,0.0599
55.6,0.0502
44.3,0.0401
33.1,0.0298
