Setting,Mass_g
1.0,0.8806
2.0,1.8305
3.0,2.7601
4.0,3.7077
5.0,4.6343
6.0,5.5620
7.0,6.5130
8.0,7.5060
9.0,8.4454
10.0,9.3928
