Setting,Mass_g
1.0,0.9710
1.0,0.9624
1.0,0.9563
1.0,0.9558
1.0,0.9652
1.5,1.4470
1.5,1.4504
1.5,1.4487
1.5,1.4473
1.5,1.4486
2.5,2.4590
2.5,2.4481
2.5,2.4434
2.5,2.4466
2.5,2.4434
5.0,4.9299
5.0,4.9450
5.0,4.9291
5.0,4.9359
5.0,4.9565
10.0,9.9550
10.0,9.9588
10.0,9.9325
10.0,9.9352
10.0,9.9391
