Setting,Mass_g
2.00,0.00167
2.00,0.00167
2.00,0.00151
2.00,0.00155
2.00,0.00157
1.50,0.00117
1.50,0.00109
1.50,0.00115
1.50,0.00111
1.50,0.00106
1.00,0.00078
1.00,0.00066
1.00,0.00065
1.00,0.00061
1.00,0.00071
0.50,0.00024
0.50,0.00029
0.50,0.00019
0.50,0.00015
0.50,0.00019
