Setting,Mass_g
25,0.0253
25,0.0251
25,0.0254
25,0.0253
25,0.0251
50,0.0499
50,0.0501
50,0.0500
50,0.0499
50,0.0499
100,0.1000
100,0.1000
100,0.1000
100,0.0999
100,0.1000
200,0.2005
200,0.2006
200,0.2002
200,0.2001
200,0.2001
