Setting,Mass_g
2.00,0.00197
2.00,0.00181
2.00,0.00161
2.00,0.00187
2.00,0.00172
1.00,0.00076
1.00,0.00071
1.00,0.00082
1.00,0.00069
1.00,0.00090
0.50,0.00035
0.50,0.00025
0.50,0.00023
0.50,0.00027
0.50,0.00028
1.216,0.00083
1.216,0.00091
1.216,0.00105
1.216,0.00091
1.712,0.00138
1.712,0.00141
1.712,0.00141
1.712,0.00150
1.145,0.00081
1.145,0.00093
1.145,0.00103
1.145,0.00099
1.145,0.00082
0.753,0.00064
0.753,0.00069
0.753,0.00059
0.753,0.00061
0.753,0.00056
