Setting,Mass_g
1,0.8601
1,0.8602
1,0.8619
1,0.8626
1,0.8631
5,4.5269
5,4.5078
5,4.5267
5,4.5550
5,4.5072
9,8.1829
9,8.1839
9,8.2159
9,8.1720
9,8.2076
2.79,2.4865
5.52,4.9535
7.7,6.9451
6.62,5.9638
9.9,8.9190
6.62,6.0141
3.34,3.0295
